,0168-1Q-virome_S7_L001.tsv,0168-1Z-virome_S6_L001.tsv,0168-U-virome_S13_L001.tsv,14-2820AC-VIROME_S5_L001.tsv,14-2820AC-viromeTruSeq.tsv,15-8466AC-VIROME_S6_L001.tsv,15-8466AC-viromeTruSeq.tsv,2088Q-28-06-viromeT_S7_L001.tsv,2088Q-29-06-viromeT_S11_L001.tsv,2088U-29-06-viromeT_S3_L001.tsv,2820-2Q-virome_S8_L001.tsv,2820-2Z-virome_S2_L001.tsv,2820-U-virome_S14_L001.tsv,4397Q-29-06-viromeT_S12_L001.tsv,5015Q-29-06-viromeT_S10_L001.tsv,6268-U-virome_S16_L001.tsv,6677Q-28-06-viromeT_S6_L001.tsv,6677Q-29-06-viromeT_S9_L001.tsv,6677U-29-06-viromeT_S1_L001.tsv,8466-1Q-virome_S10_L001.tsv,8466-2Z-virome_S9_L001.tsv,8466-U-virome_S17_L001.tsv,8659Q-28-06-viromeT_S8_L001.tsv,8659Q-29-06-viromeT_S13_L001.tsv,9092-1Q-virome_S3_L001.tsv,9092-2Z-virome_S1_L001.tsv,9092-U-virome_S11_L001.tsv,9324-2Q-virome_S5_L001.tsv,9324-2Z-virome_S4_L001.tsv,9324-U-virome_S12_L001.tsv,A1-CCR_S4_L001.tsv,A2-NORMAL_S8_L001.tsv,A4-NORMAL_S1_L001.tsv,A7-NORMAL_S2_L001.tsv,A8-NORMAL_S3_L001.tsv,B2-CCR_S5_L001.tsv,B3-CCR_S6_L001.tsv,B4-CCR_S7_L001.tsv,BLAC-viromeR_S59_L001.tsv,BLAD-viromeSC_S81_L001.tsv,BLBC-viromeR_S60_L001.tsv,CONTROL.VIROMA.S95.tsv,MAC-viromeR_S57_L001.tsv,MBC-viromeR_S58_L001.tsv,NTC-ds.tsv,P1-2635-I-virome.tsv,P1-2635-Ids-virome.tsv,P1-2635-Q-virome.tsv,P1-2635-Qds-virome.tsv,P2-6080-I-virome.tsv,P2-6080-Ids-virome.tsv,P2-6080-Q-virome.tsv,P2-6080-Qds-virome.tsv,P3-5566-I-virome.tsv,P3-5566-Ids-virome.tsv,P3-5566-Q-virome.tsv,P3-5566-Qds-virome.tsv,P4-1728-I-virome.tsv,P4-1728-Ids-virome.tsv,P4-1728-Q-virome.tsv,P4-1728-Qds-virome.tsv,P5-8986-I-virome.tsv,P5-8986-Ids-virome.tsv,P5-8986-Q-virome.tsv,P5-8986-Qds-virome.tsv,P6-8992-I-virome.tsv,P6-8992-Ids-virome.tsv,P6-8992-Q-virome.tsv,P6-8992-Qds-virome.tsv,S1-5393-VIROME_S1_L001.tsv,S1-5393-viromeTruSeq.tsv,S2-5882-viromeTruSeq.tsv,S3-9504-VIROME_S3_L001.tsv,S3-9504-viromeTruSeq.tsv,S4-1876-VIROME_S4_L001.tsv,S4-1876-viromeTruSeq.tsv,SAC1-virome.tsv,SAC1-viromeR_S55_L001.tsv,SAC2-virome.tsv,SAC2-viromeR_S56_L001.tsv,SAD1-virome.tsv,SAD1-viromeR_S61_L001.tsv,SAD2-virome.tsv,SAK1-virome_S66_L001.tsv,SAK2-virome_S67_L001.tsv,SAMPLE.VIROMA.S94.tsv,SANK1-virome_S69_L001.tsv,SANK2-virome_S70_L001.tsv,SARS.VIROMA.S96.tsv,SBC1-virome.tsv,SBC2-virome.tsv,SBD1-virome.tsv,SBD2-virome.tsv,SBK-virome_S68_L001.tsv,SBNK-virome_S71_L001.tsv,target_human_sLC3_S32_L001.tsv
Alpharicinrhavirus,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacelvirus,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderervirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Lidleunavirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,1,,,,,,,,,,,
Sozzivirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chakrabartyvirus,,,2,,4,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,1,4,1,,3,,4,,,,,,,,,1,,,,,,,,,,,
Takahashivirus,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,7,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,
Amplylivirus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyoxipapillomavirus,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,
Bovispumavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,4,3,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarabeuvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamshuipovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,
Harbinvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icerudivirus,,,,6,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinunavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphamononivirus,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracoviriform,1,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
Cryspovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corticovirus,1,,,,2,,1,,,,1,,,,,,,,,3,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
Eyrevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berhavirus,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Xipapillomavirus,,,29,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,,,2,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
Schizotequatrovirus,3,,2,,14,1,3,,,,,1,,,,1,,,,,,1,,,1,,,2,2,14,,2,,5,1,,,,,1,,,,1,,,,3,1,,1,1,4,,,,1,,,2,3,,,1,2,,,,,1,11,31,1,10,,,,,1,,,,,1,,,,1,,,,,,1,,
Sansavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parapoxvirus,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,8,20,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
Miltonvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thetatorquevirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Megrivirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,,42,18,6,1,1,1,,,,,,,,,1,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,
Tunavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvirus,,,,,,,,,,,1,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lessievirus,,,,,3,,1,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,3,,,,,,,,,,,,,,,,,,,,,,
Myunavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deltapolyomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Fisavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bopivirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
Copasivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkyvirus,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Wizardvirus,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mydovirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Alphadrosrhavirus,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaselvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passerivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,
Gwanakrovirus,,,,,1,,3,,,1,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Xinspivirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Klausavirus,,,,,4,,1,,,,,,1,,,,,,,,,,,,,,,1,1,10,,5,,,1,,,,,,,,,,,8,1,1,,,,,,,,,,,,,,,,1,2,,,,2,,4,3,1,5,1,5,,,,,,,,,,,,,,,,,,,,
Paguronivirus,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napahaivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Thamnovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabernariusvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Cebadecemvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Coatlandelriovirus,,,2,,8,,2,,,,,,2,,,1,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,1,,,,,3,5,1,,2,,1,,,,,,,,,,,,,,,,,,,,
Parahepadnavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubowvirus,,,,4,4,,4,,,1,,,,,,,,,3,,,,,,,,1,,,11,8,,,,1,,,,,,,,,,,,,1,3,,,,,,,,1,,,,1,,,,2,,,,,1,4,3,,3,,,,,,,,,,,,,,,,,,,,,,
Ahtivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Krylovvirus,,,1,,4,,4,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,2,3,4,,4,,1,,,,,,,,,,,,,,,,,,,,
Eurybiavirus,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,2,,,,,,,,,,,,,,,,,,,,
Asteriusvirus,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,
Iridovirus,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,3,2,,1,,,1,,,,,,,,,,,,1,1,1,6,1,2,,,,,,,,,,,,,,,,,1,9,1,1,2,,3,1,,,,,,,,,,,,,,,,,,,
Tobamovirus,,,,8,20,,12,,,1,,,3,,1,,,,,,,2,,,3,,,,2,123,3193,1,1709,78153,22,,2025,,,,,44498,,,,3556,2952,68,89,11,24,,,7,4,,2,,,,,706,1256,109,105,,,,,489,378,2,57,123,11,27,,2,,,,,,5,22,57613,,4,,,,,,,,
Quwivirus,1,,,2,4,,1,,,,,,1,,,1,,,,,,,,,,1,,2,1,11,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,6,2,1,4,,,,,,,,,,,,,,,,,,,,,,
Robigovirus,,,1,1,2,,2,,,,,,1,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,9,3,2,,,,,,,,,,,,,,,,,,,,,,
Synodonvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nezavisimistyvirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Torradovirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2220,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Campanilevirus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Eragrovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Primolicivirus,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,
Solendovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmondvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felixounavirus,,,3,,9,,3,,,,,,2,,,,,,,,,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,11,3,1,1,,2,,,,,,,,,,,,,,,,,,,,
Velarivirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Turncurtovirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Votkovvirus,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,
Phietavirus,1,,,1,2,,2,,,1,,,,,,,,,,,,,,,2,,,1,1,4,6,1,1,6,,,,,,,,,,,,,,1,,,,,2,,,2,,,,,,,,,1,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
Alpharetrovirus,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,1,1,,7,,,,,,,,,,,,,,,,,,,,1
Delepquintavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Kryptosalinivirus,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Cytorhabdovirus,,,,,9,1,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,23,,4,1,,,,,,,2,,,,1,,1,1,,,1,,,,,1,,1,,,,,,,,,,,5,25,1,1,,,,,,,,,,,,,3,,,,,,,,,,
Jenstvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sequivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,51,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllomonavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lentimonavirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectovirus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevihamaparvovirus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risjevirus,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,1,,,3,3,,1,,1,,,,,,,,,,,,,,,,,,,,
Aurunvirus,,,1,,5,,1,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,1,5,,1,1,,1,,,,,,,,,,,,,,,,,,1,,
Alphapironavirus,,,,,,3,9,,,,,,,,,,,,,1,1,2,,,,1,,1,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Axomammavirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrytimonavirus,,,,24,28,,,,,,,,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Deltaflexivirus,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
Shirahamavirus,,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,
Psavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gajwadongvirus,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cystovirus,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spizizenvirus,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,
Juiceboxvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthoavulavirus,,1,,127,49,,2,,,,,,30,,,,,,,,,,,,2,2,,,1,3,,,,,,,,,,,,,,,,,,1,,91,114,83,44,,,,1,,,,,,,,,,,,1,2,2,4,,,,9,,,,,,,,,,,,,,,,,,,,
Hagravirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Junavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellingtonvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lederbergvirus,1,,7,7,60,1,15,,,1,,,6,,,8,,,6,1,,2,,,,,,1,,73,8,1,,2,,,,,,,,,,,,,,16,12,,,,,,,1,2,,,1,3,,,6,9,,,2,4,7,34,21,4,29,1,17,,,,,,,,,,,,,,,,,,,,
Dybvigvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Sicinivirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,
Shilevirus,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Minipunavirus,1,,1,1,2,1,1,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ixovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thetahypovirus,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
